Youtube,Link,ProjectName,Developer,AreaName,PropertyType,StartingPrice,ImageLink,"Lat,Lng",Language,Tours,PDF,RedSticker,Green Sticker,New/Hot,Free Sticker,Tags,LifeStyle,Handover,Payment Plan,Bedrooms,LinkRu,LinkAr
N/A,https://opr.ae/projects/damac-islands-by-damac-properties-in-dubailand,DAMAC Islands,DAMAC,Dubailand,"Villas, Townhouses",2600000,https://cdn.opr.ae/upload/photo/dubai%20islands.jpg,"25.024720, 55.290088",EN,N/A,N/A,Coming Soon,Special Offer,N/A,N/A,N/A,"Dubai Luxury Living, Beachfront Living, Waterfront Living",N/A,N/A,"4BR, 5BR, 6BR, 7BR",https://opr.ae/ru/projects/damac-islands-by-damac-properties-in-dubailand,https://opr.ae/ar/projects/damac-islands-by-damac-properties-in-dubailand
https://youtu.be/bFrmNNQw9Cs,https://opr.ae/projects/damac-bay-2-by-cavalli-apartments-in-dubai-harbour-for-sale,DAMAC Bay 2 by Cavalli,DAMAC,Dubai Harbour,Apartments,3300000,https://i.1.creatium.io/b7/17/1e/2b0f87de016c16f8daa267b6d5abd4279d/header.jpg,"25.092631, 55.143932",EN,N/A,https://cdn.opr.ae/brochures/damac-bay-2.pdf,80/20 Payment Plan,Special Offer,N/A,N/A,N/A,"Dubai Luxury Living, Waterfront Living, Beachfront Living, Branded Residences",N/A,80/20 Payment Plan,"1BR, 2BR, 3BR, 4BR, 5BR",https://opr.ae/ru/projects/damac-bay-2-by-cavalli-apartments-in-dubai-harbour-for-sale,https://opr.ae/ar/projects/damac-bay-2-by-cavalli-apartments-in-dubai-harbour-for-sale
https://youtu.be/A39x8Wz1un0,https://opr.ae/projects/damac-bay-by-cavalli-apartments-in-dubai-harbour-for-sale,DAMAC Bay by Cavalli,DAMAC,Dubai Harbour,Apartments,3300000,https://i.1.creatium.io/64/00/6c/6c6d0c0e7e4fd70a366b97f103b21f2fea/1161x832q8/header.jpg,"25.092631, 55.143932",EN,N/A,https://cdn.opr.ae/brochures/damac-bay.pdf,80/20 Payment Plan,N/A,N/A,N/A,N/A,"Dubai Luxury Living, Waterfront Living, Beachfront Living, Branded Residences",N/A,80/20 Payment Plan,N/A,https://opr.ae/ru/projects/damac-bay-by-cavalli-apartments-in-dubai-harbour-for-sale,https://opr.ae/ar/projects/damac-bay-by-cavalli-apartments-in-dubai-harbour-for-sale
N/A,https://opr.ae/projects/community-damac-properties,Riverside ,DAMAC,Dubai Investments Park,"Villas, Townhouses",1900000,https://cdn.opr.ae/upload/photo/Damac%20Riverside.jpg,"24.976160, 55.233197",EN,N/A,https://cdn.opr.ae/brochures/Riverside%20Presentation.pdf,70/30 Payment Plan,Coming Soon,N/A,N/A,N/A,Dubai Luxury Living,N/A,70/30 Payment Plan,"3BR, 4BR, 5BR",https://opr.ae/ru/projects/community-damac-properties,https://opr.ae/ar/projects/community-damac-properties
N/A,https://opr.ae/projects/townhouses-sun-city-complex-dubailand-dubai,Sun City,DAMAC,Dubailand,Townhouses,2720000,https://cdn.opr.ae/upload/photo/DAMAC%20SUN%20CITY%20PRESENTATION%20header.jpg,"25.024720, 55.290088",EN,N/A,https://cdn.opr.ae/upload/brochures/DAMAC%20SUN%20CITY%20BROCHURE_DIGITAL.pdf,75/25 Payment Plan,Coming Soon,N/A,N/A,N/A,Dubai Luxury Living,Q1 2028,75/25 Payment Plan,"4BR, 5BR",https://opr.ae/ru/projects/townhouses-sun-city-complex-dubailand-dubai,https://opr.ae/ar/projects/townhouses-sun-city-complex-dubailand-dubai
N/A,https://opr.ae/projects/violet-by-damac-properties-in-damac-hills-2,Violet,DAMAC,DAMAC Hills 2,Townhouses,1870000,https://cdn.opr.ae/upload/photo/VIOLET.jpg,"24.986125, 55.390200",EN,N/A,https://cdn.opr.ae/upload/brochures/D2%20-%20VIOLET%20-%20BROCHURE%20(EN).pdf,70/30 Payment Plan,Coming Soon,N/A,N/A,N/A,Green Nature Living,Q3 2026,70/30 Payment Plan,4BR,https://opr.ae/ru/projects/violet-by-damac-properties-in-damac-hills-2,https://opr.ae/ar/projects/violet-by-damac-properties-in-damac-hills-2
N/A,https://opr.ae/projects/nawayef-park-views-modon-properties-hudayriyat-island-abu-dhabi,Nawayef Park Views,Modon,Hudayriyat Island (Abu Dhabi Emirate),Apartments,2000000,https://cdn.opr.ae/upload/photo/Nawayef%20Park%20Views.jpg,"24.414005, 54.353670",EN,N/A,https://cdn.opr.ae/upload/brochures/Nawayef%20Park%20Views%20Without%20Floorplans%20by%20Modon.pdf,Coming Soon,N/A,N/A,N/A,N/A,"Beachfront Living, Waterfront Living",Q1 2028,60/40 Payment Plan,"1BR, 2BR, 3BR, 4BR",https://opr.ae/ru/projects/nawayef-park-views-modon-properties-hudayriyat-island-abu-dhabi,https://opr.ae/ar/projects/nawayef-park-views-modon-properties-hudayriyat-island-abu-dhabi
N/A,https://opr.ae/projects/fortune-bay-residences-topero-properties-al-marjan-island-ras-al-khaimah,Fortune Bay Residences,Topero Properties,Al Marjan Island (Ras Al Khaimah Emirate),Apartments,2500000,https://cdn.opr.ae/upload/photo/Fortune%20Bay%20Residences%20by%20Topero%20Properties.jpg,"25.674608, 55.740740",EN,N/A,https://cdn.opr.ae/upload/brochures/Fortune%20Bay%20Residences.pdf,Coming Soon,N/A,N/A,N/A,N/A,"Beachfront Living, Waterfront Living",Q4 2026,70/30 Payment Plan,"1BR, 2BR, 3BR",https://opr.ae/ru/projects/fortune-bay-residences-topero-properties-al-marjan-island-ras-al-khaimah,https://opr.ae/ar/projects/fortune-bay-residences-topero-properties-al-marjan-island-ras-al-khaimah
N/A,https://opr.ae/projects/orise-beyond-dubai-maritime-city-dubai,Orise,BEYOND,Dubai Maritime City,"Apartments, Penthouses, Chalets",1900000,https://cdn.opr.ae/upload/photo/ORISE.jpg,"25.273898, 55.266946",EN,N/A,https://cdn.opr.ae/upload/brochures/ORISE%20BROCHURE.pdf,Coming Soon,N/A,N/A,N/A,N/A,"Beachfront Living, Waterfront Living",Q1 2028,50/50 Payment Plan,"1BR, 2BR, 3BR, 4BR",https://opr.ae/ru/projects/orise-beyond-dubai-maritime-city-dubai,https://opr.ae/ar/projects/orise-beyond-dubai-maritime-city-dubai
N/A,https://opr.ae/projects/liv-maritime-liv-developers-dubai-maritime-city-dubai,LIV Maritime,LIV Developers,Dubai Maritime City,"Apartments, Townhouses, Duplexes",1500000,https://cdn.opr.ae/upload/photo/LIV%20Maritime.jpg,"25.270627, 55.268945",EN,N/A,https://cdn.opr.ae/upload/brochures/LIV%20Maritime%20Brochure.pdf,Coming Soon,N/A,N/A,N/A,N/A,"Beachfront Living, Waterfront Living",Q4 2028,45/55 Payment Plan,"1BR, 2BR, 3BR",https://opr.ae/ru/projects/liv-maritime-liv-developers-dubai-maritime-city-dubai,https://opr.ae/ar/projects/liv-maritime-liv-developers-dubai-maritime-city-dubai
N/A,https://opr.ae/projects/farm-grove-emaar-properties-valley,Farm Grove,Emaar,The Valley,Villas,4440000,https://cdn.opr.ae/upload/photo/Farm%20Grove%20by%20Emaar%20Properties.jpg,"25.018754, 55.439237",EN,N/A,https://cdn.opr.ae/upload/brochures/FARM%20GROVE%20THE%20VALLEY%20BROCHURE-1.pdf,Coming Soon,N/A,N/A,N/A,N/A,Dubai Luxury Living,Q4 2028,80/20 Payment Plan,"4BR, 5BR",https://opr.ae/ru/projects/farm-grove-emaar-properties-valley,https://opr.ae/ar/projects/farm-grove-emaar-properties-valley
N/A,https://opr.ae/projects/valores-residences-valores-development-al-furjan-dubai,Valores Residences,Valores Development,Al Furjan,Apartments,880000,https://cdn.opr.ae/upload/photo/Valores.jpg,"25.018123, 55.128132",EN,N/A,https://cdn.opr.ae/upload/brochures/Valores_Factsheet_OnePage_V14.pdf,Coming Soon,N/A,N/A,N/A,N/A,Dubai Luxury Living,Q3 2027,55/45 Payment Plan,"1BR, 2BR, 3BR",https://opr.ae/ru/projects/valores-residences-valores-development-al-furjan-dubai,https://opr.ae/ar/projects/valores-residences-valores-development-al-furjan-dubai
N/A,https://opr.ae/projects/cotier-house-imtiaz-developments-dubai-islands,Côtier House,Imtiaz,Dubai Islands,"Apartments, Townhouses, Duplexes",2400000,https://cdn.opr.ae/upload/photo/C%C3%B4tier%20House%20by%20Imtiaz%20Developments.jpg,"25.287444, 55.294041",EN,N/A,N/A,Coming Soon,N/A,N/A,N/A,N/A,Dubai Luxury Living,Q1 2027,N/A,"1BR, 2BR, 3BR, 4BR",https://opr.ae/ru/projects/cotier-house-imtiaz-developments-dubai-islands,https://opr.ae/ar/projects/cotier-house-imtiaz-developments-dubai-islands
N/A,https://opr.ae/projects/trump-tower-jeddah-dar-global-jeddah,Trump Tower Jeddah,DarGlobal,Jeddah (Saudi Arabia),"Apartments, Penthouses",2000000,https://cdn.opr.ae/upload/photo/Trump%20Tower%20Jeddah.jpg,N/A,EN,N/A,https://cdn.opr.ae/upload/brochures/Trump%20Tower%20Jeddah%20Brochure.pdf,Coming Soon,N/A,N/A,N/A,N/A,"Beachfront Living, Waterfront Living",Q4 2029,90/10 Payment Plan,"1BR, 2BR, 3BR, 4BR",https://opr.ae/ru/projects/trump-tower-jeddah-dar-global-jeddah,https://opr.ae/ar/projects/trump-tower-jeddah-dar-global-jeddah
N/A,https://opr.ae/projects/essenl1fe-residence-object-1-jumeirah-village-triangle-dubai,ESSENL1FE Residence,Object One,Jumeirah Village Triangle (JVT),"Studios, Apartments",1200000,https://cdn.opr.ae/upload/photo/ESSENL1FE%20Residence%20by%20Object%201.jpg,"25.039784, 55.183283",EN,N/A,https://cdn.opr.ae/upload/brochures/ESSENL1FE_Brochure_mpp.pdf,Coming Soon,N/A,N/A,N/A,N/A,Dubai Luxury Living,Q4 2027,60/40 Payment Plan,"1BR, 2BR",https://opr.ae/ru/projects/essenl1fe-residence-object-1-jumeirah-village-triangle-dubai,https://opr.ae/ar/projects/essenl1fe-residence-object-1-jumeirah-village-triangle-dubai
N/A,https://opr.ae/projects/bo-monde-majid-al-futtaim-tilal-al-ghaf-dubai,BO MONDE,Majid Al Futtaim,Tilal Al Ghaf,Mansions,32000000,https://cdn.opr.ae/upload/photo/BO%20MONDE%20by%20Majid%20Al%20Futtaim.jpg,"25.023337, 55.176163",EN,N/A,https://cdn.opr.ae/upload/brochures/TAG%20-%20Bo%20Monde%20Brochure%20ENG.pdf,Coming Soon,N/A,N/A,N/A,N/A,Green Nature Living,N/A,N/A,"5BR, 6BR",https://opr.ae/ru/projects/bo-monde-majid-al-futtaim-tilal-al-ghaf-dubai,https://opr.ae/ar/projects/bo-monde-majid-al-futtaim-tilal-al-ghaf-dubai
N/A,https://opr.ae/projects/gem-residences-eagle-hills-maryam-island-sharjah,GEM Residences,Eagle Hills,Maryam Island (Sharjah Emirate),"Apartments, Penthouses, Townhouses",888000,https://cdn.opr.ae/upload/photo/GEM%20Residences%20by%20Eagle%20Hills.jpg,"25.323416, 55.363085",EN,N/A,https://cdn.opr.ae/upload/brochures/GEM%20Leaflet%20A4.pdf,Coming Soon,N/A,N/A,N/A,N/A,"Beachfront Living, Waterfront Living",Q4 2027,30/70 Payment Plan,"1BR, 2BR, 3BR, 4BR",https://opr.ae/ru/projects/gem-residences-eagle-hills-maryam-island-sharjah,https://opr.ae/ar/projects/gem-residences-eagle-hills-maryam-island-sharjah
N/A,https://opr.ae/projects/marina-place-emaar-properties-rashid-yachts-marina,Marina Place,Emaar,Rashid Yachts & Marina,"Apartments, Townhouses",2080000,https://cdn.opr.ae/upload/photo/Marina%20Place%20by%20Emaar%20Properties.jpg,"25.258699, 55.279785",EN,N/A,https://cdn.opr.ae/upload/brochures/BROCHURE%20MARINA%20PLACE%20RYM%20.pdf,Coming Soon,N/A,N/A,N/A,N/A,Dubai Luxury Living,Q4 2028,80/20 Payment Plan,"1BR, 2BR, 3BR",https://opr.ae/ru/projects/marina-place-emaar-properties-rashid-yachts-marina,https://opr.ae/ar/projects/marina-place-emaar-properties-rashid-yachts-marina
N/A,https://opr.ae/projects/skyvue-solair-sobha-realty-sobha-hartland-2,Skyvue Solair,Sobha,Sobha Hartland II,"Apartments, Full floors",1300000,https://cdn.opr.ae/upload/photo/Skyvue%20Solair%20by%20Sobha%20Realty.jpg,"25.172164, 55.332149",EN,N/A,https://cdn.opr.ae/upload/brochures/SKYVUE%20SOLAIR-%20OPP%20DOC.pdf,Coming Soon,N/A,N/A,N/A,N/A,Dubai Luxury Living,N/A,60/40 Payment Plan,"1BR, 2BR, 3BR",https://opr.ae/ru/projects/skyvue-solair-sobha-realty-sobha-hartland-2,https://opr.ae/ar/projects/skyvue-solair-sobha-realty-sobha-hartland-2
N/A,https://opr.ae/projects/apartments-and-penthouses-mandarin-oriental-residences-saadiyat-cultural-district,Mandarin Oriental Residences,Aldar,Saadiyat Island (Abu Dhabi Emirate),"Apartments, Penthouses",6200000,https://cdn.opr.ae/upload/photo/Mandarin%20Oriental%20Residences.jpg,"24.534743, 54.432559",EN,N/A,N/A,Coming Soon,N/A,N/A,N/A,N/A,Green Nature Living,Q3 2028,65/35 Payment Plan,"1BR, 2BR, 3BR, 4BR, 5BR",https://opr.ae/ru/projects/apartments-and-penthouses-mandarin-oriental-residences-saadiyat-cultural-district,https://opr.ae/ar/projects/apartments-and-penthouses-mandarin-oriental-residences-saadiyat-cultural-district
N/A,https://opr.ae/projects/studios-and-apartments-binghatti-elite-dubai-production-city,Binghatti Elite,Binghatti,Dubai Production City,"Studios, Apartments",616000,https://cdn.opr.ae/upload/photo/Binghatti%20Elite.jpg,"25.038761, 55.190574",EN,N/A,https://cdn.opr.ae/upload/brochures/Binghatti%20Elite_brochure_mpp.pdf,Coming Soon,N/A,N/A,N/A,N/A,Dubai Luxury Living,Q2 2026,70/30 Payment Plan,"Studios,1BR",https://opr.ae/ru/projects/studios-and-apartments-binghatti-elite-dubai-production-city,https://opr.ae/ar/projects/studios-and-apartments-binghatti-elite-dubai-production-city
N/A,https://opr.ae/projects/offices-and-commercial-half-and-full-floors-one-barsha-heights,The One,Prestige One Developments,Barsha Heights,"Offices, Commercial Half and Full floors",13540800,https://cdn.opr.ae/upload/photo/The%20One.jpg,"25.098899, 55.176259",EN,N/A,https://cdn.opr.ae/upload/brochures/Brochure_THE%20ONE.pdf,Coming Soon,N/A,N/A,N/A,N/A,Dubai Luxury Living,Q4 2026,70/30 Payment Plan,Commercial property,https://opr.ae/ru/projects/offices-and-commercial-half-and-full-floors-one-barsha-heights,https://opr.ae/ar/projects/offices-and-commercial-half-and-full-floors-one-barsha-heights
N/A,https://opr.ae/projects/apartments-duplexes-penthouses-and-chalets-on-la-mazzoni-on-al-marjan-island,La Mazzoni,The Luxe Developers,Al Marjan Island (Ras Al Khaimah Emirate),"Apartments, Duplex Penthouses, Chalets",2000000,https://cdn.opr.ae/upload/photo/La%20Mazzoni.jpg,"25.691458, 55.738878",EN,N/A,https://cdn.opr.ae/upload/brochures/La%20Mazzoni-Brochure.pdf,Coming Soon,N/A,N/A,N/A,N/A,"Beachfront Living, Waterfront Living",Q4 2028,70/30 Payment Plan,"1BR, 2BR, 3BR, 4BR, 5BR",https://opr.ae/ru/projects/apartments-duplexes-penthouses-and-chalets-on-la-mazzoni-on-al-marjan-island,https://opr.ae/ar/projects/apartments-duplexes-penthouses-and-chalets-on-la-mazzoni-on-al-marjan-island
N/A,https://opr.ae/projects/apartments-and-duplexes-in-lexington-in-town-square-dubai,Lexington,NSHAMA,Town Square Dubai,"Apartments, Duplexes",916000,https://cdn.opr.ae/upload/photo/Lexington.jpg,"25.003432, 55.287596",EN,N/A,https://cdn.opr.ae/upload/brochures/Lexington-Brochure.pdf,Coming Soon,N/A,N/A,N/A,N/A,Dubai Luxury Living,Q3 2027,50/50 Payment Plan,"1BR, 2BR, 3BR",https://opr.ae/ru/projects/apartments-and-duplexes-in-lexington-in-town-square-dubai,https://opr.ae/ar/projects/apartments-and-duplexes-in-lexington-in-town-square-dubai
N/A,https://opr.ae/projects/studios-and-apartments-in-cove-edition-3-in-dubailand,Cove Edition 3,Imtiaz,Dubailand,"Studios, Apartments",905000,https://cdn.opr.ae/upload/photo/Cove.jpg,"25.098496, 55.373793",EN,N/A,https://cdn.opr.ae/upload/brochures/Cove%20Edition%20Broxhure.pdf,Coming Soon,N/A,N/A,N/A,N/A,Dubai Luxury Living,Q4 2026,50/50 Payment Plan,"1BR, 2BR",https://opr.ae/ru/projects/studios-and-apartments-in-cove-edition-3-in-dubailand,https://opr.ae/ar/projects/studios-and-apartments-in-cove-edition-3-in-dubailand
N/A,https://opr.ae/projects/apartments-studios-sky-villas-and-townhouses-in-saas-hills-in-dubai-science-park,SAAS Hills,SAAS Properties,Dubai Science Park,"Apartments,Studios, Sky villas, Townhouses",1600000,https://cdn.opr.ae/upload/photo/SAAS%20Hills%20by%20SAAS%20Properties.jpg,"25.080418, 55.248935",EN,N/A,https://cdn.opr.ae/upload/brochures/Final%20Saas%20Hills%20Brochure%20V2.pdf,Coming Soon,N/A,N/A,N/A,N/A,Dubai Luxury Living,Q4 2027,3 Available Payment Plans,"1BR, 2BR, 3BR, 4BR, 5BR",https://opr.ae/ru/projects/apartments-studios-sky-villas-and-townhouses-in-saas-hills-in-dubai-science-park,https://opr.ae/ar/projects/apartments-studios-sky-villas-and-townhouses-in-saas-hills-in-dubai-science-park
N/A,https://opr.ae/projects/apartments-and-studios-in-samana-resorts-in-dubai-production-city,SAMANA Resorts,SAMANA Developers,Dubai Production City,"Studios, Apartments",1040000,https://cdn.opr.ae/upload/photo/SAMANA%20RESORT.jpg,"25.039068, 55.192936",EN,N/A,https://cdn.opr.ae/upload/brochures/SAMANA%20RESORTS%20BROCHURE.pdf,Coming Soon,N/A,N/A,N/A,N/A,Dubai Luxury Living,Q2 2028,2 Available Payment Plans,"1BR, 2BR, 3BR",https://opr.ae/ru/projects/apartments-and-studios-in-samana-resorts-in-dubai-production-city,https://opr.ae/ar/projects/apartments-and-studios-in-samana-resorts-in-dubai-production-city
N/A,https://opr.ae/projects/studios-apartments-and-duplexes-in-the-hillgate-in-dubai-silicon-oasis,The Hillgate,Ellington Properties,Dubai Silicon Oasis,"Studios, Apartments, Duplexes",781000,https://cdn.opr.ae/upload/photo/The%20Hillgate.jpg,"25.111333, 55.383495",EN,N/A,https://cdn.opr.ae/upload/brochures/The%20Hillgate%20-%20Brochure.pdf,Coming Soon,N/A,N/A,N/A,N/A,Dubai Luxury Living,Q4 2027,70/30 Payment Plan,"1BR, 2BR, 3BR",https://opr.ae/ru/projects/studios-apartments-and-duplexes-in-the-hillgate-in-dubai-silicon-oasis,https://opr.ae/ar/projects/studios-apartments-and-duplexes-in-the-hillgate-in-dubai-silicon-oasis
N/A,https://opr.ae/projects/apartments-in-sunset-bay-one-on-dubai-islands,Sunset Bay One,Imtiaz,Dubai Islands,Apartments,1700000,https://cdn.opr.ae/upload/photo/Sunset%20Bay.jpg,"25.288948, 55.296679",EN,N/A,https://cdn.opr.ae/upload/brochures/Sunset%20Bay%20by%20Imtiaz%20-%20Brochure.pdf,Coming Soon,N/A,N/A,N/A,N/A,Dubai Luxury Living,Q4 2026,60/40 Payment Plan,"1BR, 2BR, 3BR",https://opr.ae/ru/projects/apartments-in-sunset-bay-one-on-dubai-islands,https://opr.ae/ar/projects/apartments-in-sunset-bay-one-on-dubai-islands
N/A,https://opr.ae/projects/apartments-in-zephyra-on-dubai-islands-dubai,Zephyra,Arsenal East,Dubai Islands,Apartments,1550000,https://cdn.opr.ae/upload/photo/Zephyra.jpg,"25.290069, 55.300413",EN,N/A,N/A,Coming Soon,N/A,N/A,N/A,N/A,Dubai Luxury Living,Q4 2027,60/40 Payment Plan,"1BR, 2BR, 3BR",https://opr.ae/ru/projects/apartments-in-zephyra-on-dubai-islands-dubai,https://opr.ae/ar/projects/apartments-in-zephyra-on-dubai-islands-dubai
N/A,https://opr.ae/projects/townhouses-in-la-tilia-in-villanova-dubailand-dubai,La Tilia,Dubai Properties,Villanova,Townhouses,2690000,https://cdn.opr.ae/upload/photo/La%20Tilia%20by%20Dubai%20Properties.jpg,"25.070122, 55.341659",EN,N/A,https://cdn.opr.ae/upload/brochures/La%20Tilia%20Brochure.pdf,Coming Soon,N/A,N/A,N/A,N/A,Dubai Luxury Living,Q3 2028,60/40 Payment Plan,"3BR, 4BR, 5BR",https://opr.ae/ru/projects/townhouses-in-la-tilia-in-villanova-dubailand-dubai,https://opr.ae/ar/projects/townhouses-in-la-tilia-in-villanova-dubailand-dubai
