canonical_name,level,parent,aliases
Clearpoint,subcommunity,"Mina Rashid, Dubai","clrpnt, clear point, minarashid clearpoint, mina rashid clearpoint, clearpoint mina rashid, clrpt, clrpoint, clearpnt, clearpiont, clearpint, clear point mina rashid, clearpoint mr, mr clearpoint, c-point, cpoint"
Club Drive,subcommunity,"Dubai Hills Estate, Dubai","clubdr, clubdrive, cd, cde, clubdriv, clubdve, clubd, clubdrie, clubdrivee, clubdrivs, clubdrive.dx, clubdrive-dhe, clubdrive dhe, dhe clubdrive, clubdrive dubaihills, clubdrivedubaihills, clubdrdhe, cludrive, clubdriev"
Club Place,subcommunity,"Dubai Hills Estate, Dubai","club pl, clubplace, cp, clubplace dhe, dhe club place, club plce, clubplac, club plase, clubp, club place dhe, clubpl, club place dubai hills, clubplace dubai hills, clubplace estate"
Club Villas at Dubai Hills,subcommunity,"Dubai Hills Estate, Dubai","cv, cv dh, cv dhe, clubvillas, club villas dhe, dh club villas, clubvillasdhe, clubvillasdh, club villas dubai hills, club villas dxb, clubvilla, clubvilladhe, cvillashills, clubvilas, cluvillas, clubvillas estate, dubaihills clubvillas, dh clubvillas, club villas dxb hills"
Collective,subcommunity,"Dubai Hills Estate, Dubai","coll, collect, colective, dhes collective, collective dhes, collective hills, dhes coll, coll dhes, collective estate, coll estate, colectiv, collctive, dhee collective, collective dubai hills"
Collective 2.0,subcommunity,"Dubai Hills Estate, Dubai","coll 2, coll 2.0, collective2, collective 2, col 2, col 2.0, dhe collective 2, collective 2.0 dhe, collective two, col2.0, col2, collective2.0, collecive 2, colective 2, collective20, dhe coll 2, collective 2.o, coll2.o"
Commercial Building 1,subcommunity,"Dubai Studio City, Dubai","cb1, comm bldg 1, com bldg 1, comm building 1, c b 1, cb 1, commercial bldg 1, dsc cb1, dsc comm bldg 1, dsc commercial 1, dsc commercial building 1, commbldg1, cb1dsc, commbldg1dsc, commercialbldg1, comblg1, combuildng1, comm build 1, comm bldg one, dsc cb 1"
Commercial Building 2,subcommunity,"Dubai Studio City, Dubai","comm bldg 2, cb 2, comm bld 2, commercial bldg 2, commbuild 2, comm blding 2, cb2, studio city comm bldg 2, comm bldg 2 studio city, dsc comm bldg 2, comm bldg 2 dsc, commbldg2, commbld2, com bldg 2, comm bulding 2, comm build 2, c b 2, comm bldg two, comm bldg ii"
Design Quarter,subcommunity,"Dubai Design District, Dubai","d3, d3dq, designquarter, d3 design quarter, d3quarter, d3 design, dq, des quarter, dsign quarter, designqtr, d3q, d3dqtr, d3 designquarter, desquarter, design qtr, d3 dquarter, d3-dq"
District 11,subcommunity,"Mohammed Bin Rashid City, Dubai","d11, dist 11, dist11, district11, mbrd11, mbr d11, mbrc d11, mbr city d11, district eleven, d-11, disteleven, dist eleven, mbr district 11, mbr dist 11, d11 mbr, dist11 mbr"
District 7,subcommunity,"Mohammed Bin Rashid City, Dubai","d7, dist7, district-7, d-7, mbrc d7, d7 mbrc, mohammed bin rashid city d7, districtseven, distseven, dist 7, mbr city district 7, district 7 mbr, d 7 mbr, dist 7 mbrc"
District One,subcommunity,"Mohammed Bin Rashid City, Dubai","d1, dist1, dist one, dstrct one, distric one, distirct one, d1 mbr, d1 mbrc, mbrc d1, d1 mbr city, d1 dubai, districtone, d1district, distone, distrct1, d1city"
Dragon Towers,subcommunity,"Dragon City, Dubai","dragontwr, dragontwrs, dt, dragoncitytowers, dragoncitytwr, dragontower, dragon twr, dgn twr, dragoncty twr, dragontowrs, dragon towers dubai, dragon city towers, drgon towers, dragon tqwer, dragon tlowers, dragontowers, dcity towers, dcity twr"
Dubai Hills,subcommunity,"Dubai Hills Estate, Dubai","dhe, dh estate, dubai hills estate, dubaihills, dhills, d hill, dubai hill, dhe estate, dhls, dubaihillsestate, dubai hill estate, d hills, dhill, dhil"
Dubai Hills Grove,subcommunity,"Dubai Hills Estate, Dubai","dhg, dubai hills estates grove, dh grove, dhg grove, dubaihillsgrove, dhgrove, dubai hill grove, dubai hils grove, d h g, dh estate grove"
Dubai Hills View,subcommunity,"Dubai Hills Estate, Dubai","dh view, dhv, hills view, dhv view, dhview, dubaihillsview, dh estate view, d hills view, dhills view, dh estate, dhv estate, dubaihills estate view, dh v, dh-view, dhview estate, dhl view"
Eden,subcommunity,"The Valley, Dubai","edn, the valley eden, valley eden, eden the valley, edn the valley, edden, eden valley, eden thevalley, eden dxb, the valley edn, edn valley"
Elie Saab II,subcommunity,"Arabian Ranches 3, Dubai","eliesaab2, eliesaabii, es2, esii, eliesaabranches, ar3eliesaab, eliesaab3, eliesaab ranches 3, eliesaab r3, eliesaab, e-saab, elisaab2, eliesaabll, eliesaabtwo, ar3 es2, eliesaab ranches, eliesaabii ar3"
Ellington House,subcommunity,"Dubai Hills Estate, Dubai","eh, eh house, ellington hse, ellingtn house, elington house, elington hse, dhe ellington, dhe ellington house, dubai hills ellington, dubai hills ellington house, ellngton house, ellingtnhouse, ehouse, ellingtonh, ellingtonhs, ellingtn, dhe eh, dhe ellington hse"
Ellington House II,subcommunity,"Dubai Hills Estate, Dubai","eh2, eh ii, ellington house 2, ellington house two, eh house 2, eh house ii, dh eh2, eh2 dubai hills, dubai hills eh2, ellingtn house 2, ellingtonhouse2, eh2 dhe, eh2dhe, eh-2, ell house 2, ellhouse2, elington house 2, ellingten house 2"
Ellington House III,subcommunity,"Dubai Hills Estate, Dubai","eh3, eh iii, ellington house 3, eh house 3, eh house iii, dh eh 3, dubai hills eh 3, eh3 dhe, eh iii dhe, ellington 3, ellington iii, elington house 3, elington house iii, elington 3, ehouse 3, ehouse iii, eh3 dubai hills, ellingtonhouse3, ellingtonhouseiii, eh3dhe"
Ellington House IV,subcommunity,"Dubai Hills Estate, Dubai","eh4, eh 4, ellington 4, ellingtons 4, ehiv, eh iv, ellingon house 4, elington house 4, elington4, eh house 4, dhe eh4, dhe eh 4, dubai hills eh4, dubai hills eh 4, ellingtonhouse4, ehouse4"
Elora,subcommunity,"The Valley, Dubai","elora valley, elr, elr valley, elora the valley, the valley elora, elora vly, eloraa, ellora, elra, elora community, elora sub, elora phase"
Emerald Hills,subcommunity,"Dubai Hills Estate, Dubai","eh, emeraldhills, emarald hills, emeral hills, emrald hills, emeraldhillsdhe, dheemerald, emeraldhills dubai, emeraldhill, emeraldh, emerald, emraldhills, emeraldhillsestate"
Executive Residences,subcommunity,"Dubai Hills Estate, Dubai","exec residences, exec res, exec residence, ex residences, ex res, executive res, executive residence, dhe exec, dhe executive, dhe exec residences, dubai hills exec, dubai hills executive, execres, execresidences, exres, exresidences, exective residences, exec residencies, exec residnce, exec residences dxb, executive residences dhe"
Farm Gardens,subcommunity,"The Valley, Dubai","fg, farmg, thevalleyfg, valleyfg, farmgardn, farmgardenss, farmgarden, thevalleyfarmgardens, farmgardns, farmgdn, farmgdns, fmg, fmgardens, valleyfarmgardens, farmgardensdubai, fgthevalley"
Farm Gardens 2,subcommunity,"The Valley, Dubai","fg2, farmgardens2, thevalleyfg2, fg2thevalley, farmgardensii, farmgarden2, fgii, farmgardenii, farmgarden 2, thevalleyfarmgardens2, fg 2, farmgardens 2, thevalley farm gardens 2, farm gardns 2, farmgarden s2, farmgardenstwo, valley fg2"
Gardenia Residence,subcommunity,"Dubai Hills Estate, Dubai","gardenia, gardenia residences, gardenia residency, grd, gardenia dhe, dhe gardenia, gardenia dubai hills, gdneia, gardeniaresidence, gardeniares, gardeniaresidences, gardenia res, gardinia, gardenia estates"
Gardenia Townhomes,subcommunity,"Wasl Gate, Dubai","gardenia, gtownhomes, gth, waslgategardenia, gardeniatownhomes, gardeniawaslgate, gardenia th, gardenia twh, g townhomes, gardnia, gardeniah, g-townhomes, wasl gardenia, gthomes, gardeniatownhome, g townhome, gardeniatwh, wasl gate gardenia"
Gardenia Townhomes II,subcommunity,"Wasl Gate, Dubai","gardenia 2, gardenia ii, gardenia townhouses 2, gardenia townhomes 2, wasl gate gardenia, gardenia wasl gate, gardenia 2 wasl, gardinia 2, gardenia2, gth2, waslgate gardenia, gardenia ii wasl, gardenia twnhms 2, gardina 2"
GHAPH Studio,subcommunity,"Dubai Studio City, Dubai","ghaph, studio city ghaph, dsc ghaph, ghaph apartments, ghap studio, ghaphst, ghaphstudi, ghaphstud, ghaphstduio, graph studio, ghap studio city, ghaph res, ghaph residence, ghaph resi, ghaphs, ghaph studio city"
Glitz,subcommunity,"Dubai Studio City, Dubai","glitz by danube, glitz studio city, gtz, glitzdsc, glitz sc, glitz st city, glitz studio, glitzs, gitz, glits, glitz 1, glitz 2, glitz 3, glitz3, glitzdanube"
Golf Grand,subcommunity,"Dubai Hills Estate, Dubai","gg, golfgrnd, golfgrandd, golfgh, golfgranddhe, golfgrnddhe, golfgranddubaihills, dhedubaihillsgolfgrand, golfgrnddubaihills, ggrand, ggranddhe, golfgrandestate"
Golf Grove,subcommunity,"Dubai Hills Estate, Dubai","gg, golfgrv, golfgrov, dhes golf grove, golf grove dhes, golfgrove, golfgrve, golff grove, golfgove, golfgrvo, golf grv, dxb hills golf grove, golf grove dxb hills"
Golf Hillside,subcommunity,"Dubai Hills Estate, Dubai","golfhill, ghs, ghside, dh golf hillside, golf hillside estate, golfhillside, gh estate, dh estate golf, golfhill side, golfhills, golfhillside estate, golfhill-side, ghs dubai hills, golfhillside dubai"
Golf Place,subcommunity,"Dubai Hills Estate, Dubai","gp, golfplace, golfpl, dhe golf place, golf place dhe, golfplace dhe, golfpl dhe, golf place dubai hills, golfplacedhe, golfplacedubaihills, golfplce, golp lace, golf p, golfplac, golfplce dhe"
Golfville,subcommunity,"Dubai Hills Estate, Dubai","golf ville, golfvile, gv, golfvillee, gville, golfville dubai hills, dubai hills golfville, dh golfville, golfville dh, golfvill, gv dh, golfvile estate, golf ville estate"
Green Square,subcommunity,"Dubai Hills Estate, Dubai","gs, green sq, greensquare, green sqr, dh green square, green square dhe, green sq dhe, greensq, green sqr dhe, green square dubai hills, gsq, gsq dhe, greensquare dhe, green sqr dubai hills"
Hammock Park,subcommunity,"Wasl Gate, Dubai","hp, hammockpk, hammock park wasl, wasl gate hammock, wasl gate hp, hamock park, hamok park, hammockpark, hp wasl, hammock, hammock wgate, waslgate hammock, hammok pk, hammock pkr, hammock park dubai"
Hills Business Park,subcommunity,"Dubai Hills Estate, Dubai","hbp, hills business, dhe hbp, dhe business park, dubaihills business park, dubai hills business, hill business park, hils business park, hbp dubai hills, hillsbizpark, hbp dhe, dubaihillsbusinespark, hills bus park, h hills business park"
Hills Park,subcommunity,"Dubai Hills Estate, Dubai","hillspark, hp, dhe hills park, hills park dxb, hill park, hill spk, hillspk, hp dhe, hills pk, hillprk, hillpark estate, dhe hillspark, hills park dubai hills, hillspk dhe, hp hills, hillprk estate, hillspark dxb"
Hillside Residences,subcommunity,"Wasl Gate, Dubai","hillside, hillside res, hsres, hillside resid, hillside residencies, hillside wasl, wasl hillside, waslgate hillside, hillsideresidences, hilde residence, hillside resi, hillside residnces, hillsideres, wasl hillside residence, hillside resd, hill side residences, hillside residence, hillside waslgate"
Joy,subcommunity,"Arabian Ranches 3, Dubai","jr, joy ar3, joy ranches 3, joy ar, joy 3, ar3 joy, joy sub, joy subcommunity, joi, jooy, joye, ar3joy, joyranches, joyranches3, joyar3"
June,subcommunity,"Arabian Ranches 3, Dubai","june ar3, ar3 june, june ar, ar 3 june, june ranches, jun, jn, june sub, ar3june, june3, ar 3 sub, june arabian ranches, june arabian, june ranches 3"
June 2,subcommunity,"Arabian Ranches 3, Dubai","j2, jun2, juneii, june two, ar3june2, ar3j2, arabianranches3june2, arabianranches3j2, jne2, june 02, j-2, j2ar3, june2ar3, ar3 june 2, june 2 ar3"
Kensington Waters,subcommunity,"Mohammed Bin Rashid City, Dubai","kw, kensington, kensingtonw, kensingtonwater, mrb kensington, mbrc kensington, kensingtonwaters mbr, kensington water, kensingtonwtrs, kensingtn waters, kensigton waters, kensingtonwaters, kensingtonwatersmbr, mbr kensington waters, kw mbr"
Lamborghini Mansions,subcommunity,"Dubai Hills Estate, Dubai","lambo mansions, lambo, lambo villas, lamborghini villas, lambo estates, lambo mansions dhe, lambomansions, lambo mansion, lambo estate, lamborghini mansions dhe, dhe lambo, dhe lambo mansions, lambo mansons, lambo mansons dhe, lambo mnsions, lambo mansions dubai hills, lambo dhe"
Laya Heights,subcommunity,"Dubai Studio City, Dubai","lh, laya, layah, layaheight, layahights, laya hts, layahst, layahheights, layaheights, studio city laya, laya studio city, dsc laya, dsc laya heights, layastudio, layahghts"
Lime Gardens,subcommunity,"Dubai Hills Estate, Dubai","lg, lime, limegarden, limegrdns, limegardensdxb, limegardensdhe, dhe lime, lime gardens dhe, limegrdn, limeg, lime garden, limegardens, lmg, lmgardens, limegardens estate"
MAG 900,subcommunity,"Mohammed Bin Rashid City, Dubai","mag900, mag 900 city, m900, mag-900, mbr city mag 900, mbrc mag 900, mag 900 mbr, magninehundred, mag 900 dubai, mag nine hundred, mag9oo, mag 900s, mag900 city"
Mag 910,subcommunity,"Mohammed Bin Rashid City, Dubai","mag910, m910, mag 9, mbrc mag 910, mag910 mbrc, mag910 dubai, magnine ten, mag910s, mag910 building, mag 910 mbr, m.b.r.c mag 910, mag910city, mag-910, mag 910s, mag910 appartments"
MAG 920,subcommunity,"Mohammed Bin Rashid City, Dubai","mag920, m920, mag 920 mbr, mbr mag 920, mag 920 city, mag920 mbr, mag920 dubai, mag nine twenty, mag920s, mag-920, mag 92, mag92, mbr city mag 920, mag 920s"
MAG 930,subcommunity,"Mohammed Bin Rashid City, Dubai","mag930, mag 930 mbrc, mbrc mag 930, mag 930 city, mag930 mbr, mag 930 mbr city, mag-930, mag nine thirty, mag930dubai, mag 930 dubia, mbg 930, mag 93, mag 930s"
MAG 960,subcommunity,"Mohammed Bin Rashid City, Dubai","mag960, mag 960 mbr, mag960 mbr, mbr mag 960, mag960 city, mag960 dubai, mag 960 city, mag 960 dubai, mag nine sixty, mag960 mohammed bin rashid, mag 960 mohammed bin rashid, mag960m, mag960 mbrc, mag960m b r, m b r mag 960, mag960s, mag960 res, mag 960 res, mag960 residence, mag 960 residence"
MAG 980,subcommunity,"Mohammed Bin Rashid City, Dubai","mag980, m980, mag 980 city, mbrc mag 980, mag 980 mbrc, mag980 mbr, mag 980 mohammed bin rashid city, mag980 dubai, mag 980 dubai, mag nine eighty, mag980m, mag 980m, m 980, mag980 city, mag980 property"
MAG Arabic,subcommunity,"Mohammed Bin Rashid City, Dubai","mag, mag mb r, mag city, mag mohammed bin rashid, mb r mag, mag arabic city, mag arab, magr, magrbc, mag arbic, mag arbic city, mag arabi, mag arabic mbr, mbr mag arabic, magarabic, magarabi, magarabic city"
MAG German 2 - 03,subcommunity,"Mohammed Bin Rashid City, Dubai","mag 2, mag german, mag g2, mag g 2, mag 2 mbr, mag mbr, mag city, mag g2 mbr, mag german 2, mag german2, maggermangermany, mag grmn 2, maggerman2, mbr mag 2, mbr mag german, mag german-2, mag 2 mbrc, mag2mbr, mag german ii"
Majestic Vistas,subcommunity,"Dubai Hills Estate, Dubai","mv, maj vistas, majestic vistas dh, maj vistas dhe, mj vistas, majesticvistas, majvistas, m vistas, majestic vista, majestic vista estate, dhe majestic vistas, majestic vistas dubai hills, majistas, maj vist, majvistasdhe, mjv, majesticvistasdhe, majesticvistas dubai"
Mallside Residence,subcommunity,"Dubai Hills Estate, Dubai","msr, mallside, mallside res, mall side, mallside resid, mallside dubai hills, dubai hills mallside, mallside dhee, msr dhe, mallside residences, malside, mallsidee, mallsideres, msresidence, mallside resi"
Maple at Dubai Hills Estate,subcommunity,"Dubai Hills Estate, Dubai","maple, maple dhe, maple dh, maple estate, maple d hills, mple, mappel, maple dubaihills, maple at dhe, maple dubai hills, maple dhedubai, maple d hills estate"
Marina Views,subcommunity,"Mina Rashid, Dubai","mv, m.views, mviews, marinaviews, mina rashid marina views, marina views mina rashid, minarashid mv, m.rashid mv, marina view, mariner views, marina vews, marina vws, mv mina rashid, marina rashid views"
May,subcommunity,"Arabian Ranches 3, Dubai","may ar3, ar3 may, ar3may, may ranch3, may ar 3, may sub, may community, my ar3, may ar, ar3-may, may r3, may ranches 3, may raches 3, may aranches 3"
Mediterranean Villas,subcommunity,"Mohammed Bin Rashid City, Dubai","med villas, medvillas, med villa, mbrc med villas, med villas mbr, med villas mbrc, mediterranean villas mbrc, medvillas mbrc, med vills, medvilla, mbr med villas, med villas dubai, med villas m, med villas mbrcity, mediterranean vills, med villas m.b.r. city, med vls, medvillasdubai"
Mira,subcommunity,"Reem, Dubai","mira reem, reem mira, mraa, mira community, mira sub, mira dubai, mira phase, mira villas"
Mira Oasis,subcommunity,"Reem, Dubai","mira, mira oas, m oasis, miraoasis, reem mira, mira reem, reem mira oasis, mira oases, myra oasis, mirra oasis, m oasis reem, mira oasist, mira oasies, mira oasiss, mira oasise, mra oasis"
Nara,subcommunity,"The Valley, Dubai","nara the valley, nratv, naravally, nra, nara valley, the valley nara, nara thevly, nra valley, narra, nra vly"
